Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,131.37,134.04,129.29,130.77,130.77,83758826
2021-01-05,128.21,131.29,127.64,128.41,128.24,67009383
2021-01-06,128.27,130.56,125.21,130.21,130.42,84232591
2021-01-07,131.7,134.45,131.11,132.49,132.48,74432312
2021-01-08,128.93,130.5,126.25,127.98,127.99,59440139
2021-01-11,122.99,127.04,122.28,125.07,125.24,78465020
2021-01-12,125.15,126.89,124.8,125.42,125.5,82301269
2021-01-13,123.88,126.08,123.15,124.76,124.65,65765793
2021-01-14,125.38,126.93,124.49,124.78,124.7,102907147
2021-01-15,122.43,124.77,121.9,122.93,122.99,117751850
2021-01-18,125.25,126.88,123.34,124.95,124.87,105314625
2021-01-19,127.2,128.77,124.66,126.77,126.5,68088013
2021-01-20,128.38,131.02,126.58,126.98,126.97,97712123
2021-01-21,129.48,132.09,127.98,129.64,129.45,77074663
2021-01-22,131.09,132.29,128.84,130.79,131.0,48665824
2021-01-25,127.69,131.45,126.85,128.84,128.86,94911359
2021-01-26,130.69,133.49,128.47,129.76,129.64,78935746
2021-01-27,127.01,128.19,126.67,127.6,127.51,185903907
2021-01-28,129.25,131.63,128.44,129.69,129.44,124902435
2021-01-29,129.61,130.65,128.03,129.63,129.49,96196278
2021-02-01,128.04,131.68,124.87,129.26,129.39,81834407
2021-02-02,127.92,128.78,124.56,127.74,128.02,79423230
2021-02-03,131.4,133.65,127.44,130.64,130.74,52783403
2021-02-04,130.57,131.5,128.88,130.34,130.32,40806549
2021-02-05,128.16,131.11,127.78,129.39,129.34,55262382
2021-02-08,128.54,131.69,127.41,128.63,128.51,73757829
2021-02-09,130.51,131.83,129.06,129.93,130.2,35893253
2021-02-10,129.37,133.73,129.2,130.85,130.82,61990149
2021-02-11,131.03,135.14,130.6,131.88,132.16,68773847
2021-02-12,133.67,136.61,131.39,132.97,133.15,69552983
2021-02-15,138.48,139.17,136.99,138.26,138.02,59494558
2021-02-16,137.65,140.5,136.58,137.31,137.22,66550315
2021-02-17,137.63,137.87,133.64,136.11,136.02,137119245
2021-02-18,134.57,135.98,132.91,134.19,134.18,94560416
2021-02-19,136.29,139.27,132.84,135.75,135.74,61644427
2021-02-22,140.85,143.32,137.66,138.6,139.01,73227159
2021-02-23,138.2,140.29,136.28,138.38,138.23,74260445
2021-02-24,135.71,137.77,134.97,136.36,136.39,57323101
2021-02-25,134.76,137.52,132.68,134.41,134.5,57299536
2021-02-26,136.42,138.88,135.42,136.06,136.06,106822814
2021-03-01,137.52,139.64,136.85,137.95,137.97,64751934
2021-03-02,138.51,142.5,136.33,139.37,139.23,51128617
2021-03-03,139.68,140.59,136.76,137.77,137.79,73876072
2021-03-04,138.68,139.39,137.7,138.41,138.48,78162619
2021-03-05,138.16,141.05,134.94,138.77,138.81,37601413
2021-03-08,140.14,143.55,139.09,139.38,139.46,73937998
2021-03-09,141.55,142.63,139.49,141.64,141.84,101624138
2021-03-10,142.06,143.27,140.05,142.28,142.41,87831341
2021-03-11,144.58,145.21,143.08,144.09,144.1,163680507
2021-03-12,143.21,147.46,141.51,144.33,144.16,116207389
2021-03-15,145.46,146.39,144.7,145.15,145.06,124538514
2021-03-16,148.56,150.5,144.19,146.88,146.84,199840228
2021-03-17,143.54,147.1,142.23,143.14,143.17,97792003
2021-03-18,142.06,142.57,141.26,142.38,142.31,79405107
2021-03-19,140.81,143.27,139.61,141.24,141.11,105456359
2021-03-22,139.35,141.55,136.19,139.69,139.53,61667395
2021-03-23,138.85,141.9,136.06,139.06,138.84,77880712
2021-03-24,142.6,144.28,139.21,142.92,142.89,59786712
2021-03-25,141.55,143.08,138.43,140.78,140.57,86209700
2021-03-26,141.82,144.04,139.43,143.31,143.17,59699278
2021-03-29,139.82,142.45,137.36,139.1,139.05,58972022
2021-03-30,138.01,141.07,134.88,138.33,138.14,86678317
2021-03-31,139.11,139.7,136.96,138.8,138.85,71470809
2021-04-01,139.38,141.8,138.06,140.33,140.43,38200771
2021-04-02,143.34,146.55,139.88,142.2,142.13,45062174
2021-04-05,145.39,145.55,142.28,144.31,144.25,50196476
2021-04-06,144.3,145.48,142.9,143.47,143.55,55061346
2021-04-07,141.06,144.39,139.59,142.35,142.25,86707143
2021-04-08,145.35,146.66,143.4,144.63,144.52,80973076
2021-04-09,144.55,145.64,141.12,144.2,144.37,108889749
2021-04-12,139.63,142.69,138.22,140.99,141.11,97608907
2021-04-13,138.18,138.94,135.32,138.2,138.29,109142476
2021-04-14,136.29,138.16,134.42,136.0,136.12,92798157
2021-04-15,137.74,140.21,134.66,137.28,137.01,80711080
2021-04-16,137.84,139.88,137.11,137.69,137.88,110196068
2021-04-19,139.72,140.18,136.24,139.48,139.53,103470090
2021-04-20,139.7,142.67,136.74,138.47,138.61,85551753
2021-04-21,139.95,140.68,137.93,138.93,138.99,117022154
2021-04-22,138.15,143.29,137.21,140.57,140.57,32998504
2021-04-23,139.58,141.2,138.56,139.85,139.81,67750104
2021-04-26,140.93,143.86,139.55,141.07,141.12,67387628
2021-04-27,137.99,140.29,135.48,139.46,139.42,112272294
2021-04-28,138.69,139.45,135.32,138.61,138.73,129992448
2021-04-29,138.76,140.55,135.38,137.73,137.51,45147067
2021-04-30,133.98,135.1,132.08,134.85,134.78,122903147
2021-05-03,136.38,137.25,134.5,136.1,136.38,49773479
2021-05-04,134.28,137.5,131.47,135.02,134.93,50302902
2021-05-05,134.57,137.96,131.69,135.11,135.08,69095397
2021-05-06,137.55,137.96,135.25,136.35,136.23,67095424
2021-05-07,137.06,140.56,133.79,137.51,137.55,43468740
2021-05-10,139.61,142.43,137.77,139.23,139.12,94155286
2021-05-11,137.48,142.08,134.7,139.04,139.02,95133290
2021-05-12,139.59,142.07,134.71,138.05,138.17,108462302
2021-05-13,138.41,140.79,135.45,137.91,137.82,64442847
2021-05-14,133.7,135.67,133.05,133.85,133.95,73968118
2021-05-17,130.92,133.1,128.5,130.47,130.57,74205524
2021-05-18,126.38,130.39,125.89,127.45,127.59,135407197
2021-05-19,126.13,126.56,122.75,125.24,125.26,27812969
2021-05-20,125.96,127.29,124.98,126.2,126.61,53654084
2021-05-21,124.07,124.56,121.87,124.22,124.35,75145588
2021-05-24,123.07,126.35,120.26,123.43,123.47,51292191
2021-05-25,125.97,127.89,125.3,126.41,126.3,68516595
2021-05-26,126.18,128.35,124.35,125.66,125.65,71762472
2021-05-27,127.59,130.29,125.29,127.39,127.58,59578690
2021-05-28,125.82,128.94,123.94,125.33,125.54,76711546
2021-05-31,124.92,125.53,124.27,124.92,125.11,93441947
2021-06-01,123.24,125.73,122.65,122.86,122.96,69047512
2021-06-02,121.86,124.89,120.55,122.17,122.01,63999159
2021-06-03,125.74,126.02,122.03,124.08,124.14,70772491
2021-06-04,119.21,122.64,117.45,120.34,120.19,74805049
2021-06-07,122.26,123.42,120.76,121.34,121.16,40787524
2021-06-08,122.91,124.95,120.47,121.91,121.94,88149301
2021-06-09,120.05,122.28,118.87,120.67,120.73,64048312
2021-06-10,119.2,120.06,116.73,117.62,117.73,116632199
2021-06-11,118.53,119.04,115.65,117.83,117.89,92236582
2021-06-14,117.45,117.89,115.78,116.76,116.83,112957467
2021-06-15,117.33,117.74,115.67,117.31,117.19,52648449
2021-06-16,117.25,119.32,114.54,117.41,117.39,65858123
2021-06-17,120.74,122.04,119.06,120.9,120.71,48551623
2021-06-18,120.71,121.46,118.53,120.43,120.19,58596278
2021-06-21,119.28,121.38,117.96,118.28,118.37,116247903
2021-06-22,118.85,120.93,118.09,118.72,118.63,126230527
2021-06-23,118.59,120.91,118.19,119.25,119.35,50181250
2021-06-24,122.86,125.74,119.89,122.25,122.39,63885404
2021-06-25,124.85,126.13,121.55,124.16,124.08,73026298
2021-06-28,125.51,128.15,124.33,125.02,125.09,92060879
2021-06-29,128.99,129.35,127.61,128.41,128.33,40510229
2021-06-30,125.55,128.11,124.45,125.75,125.52,42795719
2021-07-01,123.67,127.44,121.79,124.37,124.38,89019661
2021-07-02,121.73,124.97,119.79,122.36,122.31,37914158
2021-07-05,120.37,123.38,118.27,121.56,121.51,64142618
2021-07-06,118.81,120.72,115.94,118.64,118.88,79377920
2021-07-07,120.0,121.2,119.03,120.06,119.88,86744863
